
Zindagi 1940, Pankaj Mullick|
Bandhan 1940, Saraswati Devi|Kavi Pradeep|
Achhut 1940, Gyan Dutt|
Khazanchi 1941, Ghulam Haider|
Chitralekha 1941, 
Sikander (2009 film) 1941, Shankar-Ehsaan-Loy|Sandesh Shandilya|Justin-Uday|
Jhoola 1941, Saraswati Devi|
Basant 1942, Pannalal Ghosh|
Khandaan 1942, Ghulam Haider|
Bhakt Surdas 1942, Gyan Dutt|D. N. Madhok|
Jawab 1942, 
Kismet 1943, Anil Biswas|Kavi Pradeep|
Tansen 1943, 
Ram Rajya 1943, 
Nadaan 1943, 
Nauker 1943, 
Rattan 1944, 
Dost 1944, Sajjad Hussain|
Zeenat 1945, 
Gaon Ki Gori 1945, 
Anmol Ghadi 1946, Naushad|
Shah Jehan 1946, Naushad|
Shaheed 1948, Ghulam Haider|
Chandralekha 1948, S. Rajeswara Rao|M. D. Parthasarathy|
Pyar Ki Jeet 1948, Husnlal Bhagatram|
Mela 1948, Naushad|
Barsaat 1949, Shankar Jaikishan|
Andaz 1949, Naushad|
Mahal 1949, Khemchand Prakash|
Dillagi 1949, Naushad|
Samadhi 1950, C. Ramchandra|
Babul 1950, Naushad|
Awaara 1951, Shankar-Jaikishan|
Baazi 1951, S. D. Burman|
Albela 1951, C.Ramchandra|
Deedar 1951, Naushad|Shakeel Badayuni|
Jadoo 1951, Naushad|
Aan 1952, Naushad|
Baiju Bawra 1952, Naushad|
Jaal 1952, S. D. Burman|
Daag 1952, Shankar Jaikishan|
Anarkali 1953, C. Ramchandra|
Nagin 1954,  Hemant Kumar|
Nastik 1954, C. Ramchandra|
Taxi Driver 1954, Sachin Dev Burman|Sahir Ludhianvi|
Shree 420 1955, Shankar-Jaikishan|
Azaad 1955, C. Ramchandra|
Jhanak Jhanak Payal Baje 1955, Vasant Desai|
Udan Khatola 1955, Naushad|
CID 1956, Ghantasala|
Ek Hi Raasta 1956, Hemanta Mukherjee|
Mother India 1957, Naushad|
Naya Daur 1957, O. P. Nayyar|
Pyaasa 1957, S. D. Burman|
Do Aankhen Barah Haath 1957, Vasant Desai|
Madhumati 1958, Salil Choudhury|
Chalti Ka Naam Gaadi 1958, Sachin Dev Burman|Kishore Kumar|
Anari 1959, Shankar Jaikishan|
Paigham 1959, C. Ramchandra|
Navrang 1959, C. Ramchandra|Bharat Vyas|
Mughal E Azam 1960, Naushad|
Barsaat Ki Raat 1960, Roshan|Sahir Ludhianvi|
Kohinoor 1960, Naushad|
Chaudvin Ka Chand 1960, Ravi|
Ganga Jamuna 1961, Naushad|
Junglee 1961, Shankar-Jaikishan|
Gharana 1961, 
Bees Saal Baad 1962, 
Ek Musafir Ek Haseena 1962, O.P. Nayyar|
Mere Mehboob 1963, Naushad|
Taj Mahal 1963, Roshan|
Phir Wohi Dil Laya Hoon 1963, O.P. Nayyar|
Gumrah 1963, Ravi|
Sangam 1964, Shankar Jaikishan|
Ayee Milan Ki Bela 1964, Shankar Jaikishan|
Dosti 1964, Laxmikant Pyarelal|
Ziddi 1964, Sachin Dev Burman|
Rajkumar 1964, Shankar Jaikishan|
Kashmir Ki Kali 1964, O. P. Nayyar|S.H. Bihari|
Waqt 1965, Ravi|
Jab Jab Phool Khile 1965, Kalyanji-Anandji|
Himalay Ki God Mein 1965, Kalyanji Anandji|
Arzoo 1965, Shankar Jaikishan|
Guide 1965, S. D. Burman|
Jaanwar 1965, Shankar Jaikishan|
Khandaan 1965, Ravi|
Phool Aur Patthar 1966, Ravi|
Suraj 1966, Shankar Jaikishan|
Mera Saaya 1966, Madan Mohan|
Teesri Manzil 1966, R. D. Burman|
Love In Tokyo 1966, Shankar Jaikishan|Hasrat Jaipuri|
Do Badan 1966, Ravi|
Upkar 1967, Kalyanji Anandji|
Ram Aur Shyam 1967, Naushad|Shakeel Badayuni|
Farz 1967, Laxmikant Pyarelal|
Hamraaz 1967, Ravi|
Shagird 1967, Laxmikant-Pyarelal|
Jewel Thief 1967, S. D. Burman|
Milan 1967, Laxmikant Pyarelal|
An Evening In Paris 1967, Shankar Jaikishan|
Aankhen 1968, Ravi|
Do Kaliyan 1968, Ravi|
Neel Kamal 1968, Ravi|
Kanyadaan 1968, Shankar Jaikishan|
Aradhana 1969, S. D. Burman|Kishore Kumar|R.D. Burman|
Do Raaste 1969, Laxmikant Pyarelal|
Ek Phool Do Mali 1969, Ravi|
Prince 1969, Shankar Jaikishan|
Inteqaam 1969, 
Jeene Ki Raah 1969, Laxmikant Pyarelal|
Johny Mera Naam 1970, Kalyanji-Anandji|
Sachaa Jhutha 1970, Kalyanji-Anandji|
Aan Milo Sajna 1970, Laxmikant-Pyarelal|
Purab Aur Paschim 1970, Kalyanji-Anandji|
Jeevan Mrityu 1970, Laxmikant-Pyarelal|
Kati Patang 1970, Rahul Dev Burman|
Haathi Mera Saathi 1971, Laxmikant-Pyarelal|
Mera Gaon Mera Desh 1971, Laxmikant-Pyarelal|
Dushman 1971, Laxmikant–Pyarelal|Anand Bakshi|
Maryada 1971, Kalyanji–Anandji|
Andaz 1971, Shankar-Jaikishan|Hasrat Jaipuri|
Seeta Aur Geeta 1972, R. D. Burman|
Pakeezah 1972, Ghulam Mohammed|Naushad Ali|
Raja Jani 1972, Laxmikant–Pyarelal|
Beimaan 1972, Shankar Jaikishan|
Gora Aur Kala 1972, Laxmikant–Pyarelal|
Apna Desh 1972, R. D. Burman|Anand Bakshi|
Bobby 1973, Laxmikant–Pyarelal|
Jugnu 1973, Sachin Dev Burman|
Daag 1973, Laxmikant Pyarelal|
Zanjeer 1973, Kalyanji-Anandji|
Yaadon Ki Baraat 1973, R. D. Burman|
Kahaani Kismat Ki 1973, Kalyanji-Anandji|
Loafer 1973, Laxmikant–Pyarelal|
Roti Kapada Aur Makaan 1974, Laxmikant-Pyarelal|
Chor Machaye Shor 1974, Ravindra Jain|
Dost 1974, Laxmikant-Pyarelal|Anand Bakshi|
Prem Nagar 1974, Sachin Dev Burman|
Sholay 1975, R. D. Burman|
Jai Santoshi Maa 1975, 
Sanyasi 1975, Shankar Jaikishan|
Deewaar 1975, Rahul Dev Burman|
Pratiggya 1975, Laxmikant-Pyarelal|
Dharmatma 1975, Master Krishnarao|
Dus Numbri 1976, Laxmikant-Pyarelal|
Laila Majnu 1976, Madan Mohan|Jaidev|
Nagin 1976, Laxmikant Pyarelal|
Hera Pheri 1976, Kalyanji-Anandji|
Charas 1976, Laxmikant-Pyarelal|
Amar Akbar Anthony 1977, Laxmikant-Pyarelal|Anand Bakshi|
Dharam Veer 1977, Laxmikant-Pyarelal|
Hum Kisise Kum Nahin 1977, R.D. Burman|
Parvarish 1977, Laxmikant-Pyarelal|
Chacha Bhatija 1977, Laxmikant-Pyarelal|
Muqaddar Ka Sikandar 1978, Kalyanji-Anandji|
Trishul 1978, Mohammed Zahur Khayyam|
Don 1978, Kalyanji Anandji|Anjaan|Indeewar|
Suhaag 1979, Laxmikant-Pyarelal|
Jaani Dushman 1979, Laxmikant-Pyarelal|
Sargam 1979, Laxmikant Pyarelal|
Qurbani 1980, Kalyanji-Anandji|Biddu|Indeevar|Faruk Kaiser|
Aasha 1980, Laxmikant Pyarelal|
Ram Balram 1980, Laxmikant-Pyarelal|
Dostana 1980, Laxmikant-Pyarelal|
Shaan 1980, Rahul Dev Burman|
Jyoti Bane Jwala 1980, Laxmikant-Pyarelal|
The Burning Train 1980, R. D. Burman|
Ali Baba Aur 40 Chor 1980, Rahul Dev Burman|
Kranti 1981, Laxmikant-Pyarelal|
Naseeb 1981, Laxmikant-Pyarelal|
Meri Awaaz Suno 1981, Laxmikant Pyarelal|
Laawaris 1981, Kalyanji-Anandji|
Love Story 1981, Rahul Dev Burman|
Ek Duje Ke Liye 1981, Laxmikant-Pyarelal|
Kaatilon Ke Katil 1981, Kalyanji-Anandji|
Kaalia 1981, Rahul Dev Burman|Majrooh Sultanpuri|
Yaarana 1981, Rajesh Roshan|
Vidhaata 1982, Kalyanji-Anandji|
Prem Rog 1982, Laxmikant-Pyarelal|
Namak Halaal 1982, Bappi Lahiri|
Khud-daar 1982, Rajesh Roshan|
Farz Aur Kanoon 1982, Laxmikant-Pyarelal|
Nikaah 1982, Ravi|
Satte Pe Satta 1982, R.D. Burman|Gulshan Bawra|
Shakti 1982, R.D. Burman|
Rajput 1982, Laxmikant-Pyarelal|
Ghazab 1982, Laxmikant-Pyarelal|
Samraat 1982, Laxmikant-Pyarelal|
Coolie 1983, Laxmikant-Pyarelal|
Betaab 1983, Rahul Dev Burman|
Hero 1983, Laxmikant-Pyarelal|
Himmatwala 1983, Bappi Lahri|
Andhaa Kanoon 1983, Laxmikant-Pyarelal|
Mawaali 1983, Bappi Lahiri|
Jaanidost 1983, Bappi Lahari|
Tohfa 1984, Bappi Lahiri|
Sharaabi 1984, Bappi Lahiri|
Ram Teri Ganga Maili 1985, Ravindra Jain|
Mard 1985, Anu Malik|
Geraftaar 1985, Bappi Lahiri|
Karma 1986, Laxmikant-Pyarelal|
Nagina 1986, Laxmikant-Pyarelal|
Hukumat 1987, Laxmikant-Pyarelal|
Mr India 1987, Laxmikant-Pyarelal|Javed Akhtar|
Insaaniyat Ke Dushman 1987, Anu Malik|Anita Raj|
Tezaab 1988, Laxmikant-Pyarelal|
Shahenshah 1988, 
Paap Ki Duniya 1988, Bappi Lahiri|
